a.	[ə.]	n. 天主教徒
blur	[blər]	v. 涂污；使…模糊不清；使暗淡；玷污 ｜n. 污迹；模糊不清的事物
blush	[bləʃ]	v. 脸红；感到惭愧 ｜n. 脸红；红色；羞愧
boast	[boʊst]	v. 夸口说，自吹自擂说；以有…而自豪 ｜n. 自夸；值得夸耀的事物，引以为荣的事物
boil	[bɔɪl]	v. 煮沸，沸腾；激动，激昂 ｜n. 沸腾，煮沸；疖子
bold	[boʊld]	adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的 ｜n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德
bolt	[boʊlt]	n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷 ｜v. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出 ｜adv. 突然地；像箭似地；直立地
bone	[boʊn]	n. 骨；骨骼 ｜v. 剔去的骨；施骨肥于
bonus	[ˈboʊnəs]	n. 奖金；红利；额外津贴
boom	[bum]	v. 使兴旺；发隆隆声 ｜n. 繁荣；吊杆；隆隆声
boost	[bust]	v. 促进；增加；支援 ｜n. 推动；帮助；宣扬
boot	[but]	v. 引导；踢；解雇；使穿靴 ｜n. 靴子；踢；汽车行李箱
booth	[buθ]	n. 货摊；公用电话亭
bore	[bɔr]	v. 钻孔 ｜n. 孔；令人讨厌的人
borrow	[ˈbɑˌroʊ]	v. 借；借用；从其他语言中引入 ｜n. (Borrow)人名；(英)博罗
bosom	[ˈbʊzəm]	n. 胸；胸怀；中间；胸襟；内心；乳房；内部 ｜v. 怀抱；把…藏在心中 ｜adj. 知心的；亲密的
botany	[ˈbɑtəni]	n. 植物学
bother	[ˈbɑðər]	v. 烦扰，打扰；使……不安；使……恼怒 ｜n. 麻烦；烦恼
bottleneck	[ˈbɒtlnek]	n. 瓶颈
bounce	[baʊns]	n. 跳；弹力；活力 ｜v. 弹跳；使弹起
bound	[baʊnd]	adj. 有义务的；必定的；受约束的；装有封面的 ｜v. 束缚；使跳跃 ｜n. 范围；跳跃
boundary	[ˈbaʊndəri]	n. 边界；范围；分界线
bow	[boʊ]	n. 弓；鞠躬；船首 ｜v. 鞠躬；弯腰 ｜adj. 弯曲的
bowel	[baʊəl]	n. 肠；内部；同情 ｜vt. 将……的肚肠取出
bowling	[ˈboʊlɪŋ]	n. 滚木球戏；保龄球戏 ｜v. 打保龄球（bowl的现在分词）
boycott	[ˈbɔɪˌkɑt]	v. 联合抵制；拒绝参加 ｜n. 联合抵制
brace	[breɪs]	vt. 使防备， 使受锻炼；支撑； 使绷紧 ｜n. 托架， 支架
bracket	[ˈbrækɪt]	n. 支架；括号；墙上凸出的托架 ｜v. 括在一起；把…归入同一类；排除
brake	[breɪk]	v. 刹车 ｜n. 闸，刹车；阻碍
brandy	[ˈbrændi]	n. 白兰地酒
brass	[bræs]	n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breach	[briʧ]	n. 违背，违反；缺口 ｜v. 违反，破坏；打破
breadth	[brɛdθ]	n. 宽度，幅度；宽宏
breakdown	[ˈbreɪkˌdaʊn]	n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakeven	[breɪkˈiːvn]	adj. 盈亏平衡
breast	[brɛst]	n. 乳房，胸部；胸怀；心情 ｜v. 以胸对着；与…搏斗
breathe	[brið]	v. 呼吸；低语；松口气；（风）轻拂
breed	[brid]	v. 繁殖；饲养；产生 ｜n. [生物] 品种；种类，类型
breeze	[briz]	n. 微风；轻而易举的事；煤屑；焦炭渣；小风波 ｜v. 吹微风；逃走
bribe	[braɪb]	v. 贿赂，收买 ｜n. 贿赂
brick	[brɪk]	n. 砖，砖块；砖形物；心肠好的人 ｜v. 用砖砌 ｜adj. 用砖做的；似砖的
bride	[braɪd]	n. 新娘；姑娘，女朋友
briefcase	[ˈbrifˌkeɪs]	n. 公文包
brim	[brɪm]	n. 边；边缘 ｜v. 满溢；溢出
brisk	[brɪsk]	adj. 敏锐的，活泼的，轻快的；凛冽的 ｜v. 活跃起来；变得轻快 ｜n. (Brisk)人名；(法、芬)布里斯克
brittle	[ˈbrɪtəl]	adj. 易碎的； 脆的
broadcast	[ˈbrɔdˌkæst]	v. 播送，播放；（无线电或电视）广播；播撒（种子） ｜n. 广播；播音；广播节目 ｜adj. 广播的
brochure	[broʊˈʃʊr]	n. 手册，小册子
bronze	[brɑnz]	n. 青铜；古铜色；青铜制品 ｜adj. 青铜色的；青铜制的 ｜v. 镀青铜于
brook	[brʊk]	v. 忍受；容忍 ｜n. 小溪；小河
broom	[brum]	n. 扫帚；金雀花 ｜v. 扫除
brow	[braʊ]	n. 眉，眉毛；额；表情
browse	[braʊz]	v. 浏览；吃草 ｜n. 浏览；吃草
bruise	[bruz]	n. 擦伤；挫伤；青肿 ｜v. 使受瘀伤；使受挫伤
brutal	[ˈbrutəl]	adj. 残忍的；野蛮的，不讲理的
bubble	[ˈbəbəl]	n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶 ｜v. 沸腾，冒泡；发出气泡声
bucket	[ˈbəkɪt]	n. 桶，水桶；铲斗；一桶的量 ｜v. 倾盆而下；颠簸着行进
bud	[bəd]	n. 芽，萌芽；蓓蕾 ｜v. 发芽，萌芽
buffer	[ˈbʌfə]	n. 缓冲
buffet	[ˈbəfət]	n. 自助餐；小卖部；打击；猛烈冲击 ｜v. 与…搏斗；连续猛击 ｜adj. 自助的；自助餐的
bug	[bəg]	n. 臭虫，小虫；故障；窃听器 ｜v. 烦扰，打扰；装窃听器
bulb	[bəlb]	n. 电灯泡；鳞茎；球状物 ｜vi. 生球茎；膨胀成球状
bulk	[bəlk]	n. 体积，容量；大多数，大部分；大块 ｜v. 使扩大，使形成大量；使显得重要
bull	[bʊl]	n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺 ｜adj. 大型的；公牛似的；雄性的 ｜v. 企图抬高证券价格；吓唬；强力实现
bullet	[ˈbʊlət]	n. 子弹；只选某党全部候选人的投票；豆子 ｜vi. 射出；迅速行进
bulletin	[ˈbʊlɪtən]	n. 公报,公告,告示 ｜v. 公布，公告
bully	[ˈbʊli]	n. 欺凌弱小者；土霸 ｜adj. 第一流的；特好的 ｜v. 欺负；威吓 ｜adv. 很；十分 int. 好；妙
bump	[bəmp]	n. 肿块，隆起物；撞击 ｜v. 碰撞，撞击；颠簸而行 ｜adv. 突然地，猛烈地
bundle	[ˈbəndəl]	n. 束；捆 ｜v. 捆
burden	[ˈbərdən]	n. 负担；责任；船的载货量 ｜v. 使负担；烦扰；装货于
bureau	[ˈbjʊroʊ]	n. 局，处；衣柜；办公桌
bureaucracy	[bjʊˈrɑkrəsi]	n. 官僚主义；官僚机构；官僚政治
burglar	[ˈbərglər]	n. 夜贼，窃贼
burst	[bərst]	v. 爆发，突发；爆炸 ｜n. 爆发，突发；爆炸
bury	[ˈbɛri]	v. 埋葬；隐藏 ｜n. (Bury)人名；(法)比里；(英、西)伯里；(德、意、罗、波、捷、匈)布里；(俄)布雷
bush	[bʊʃ]	n. 灌木；矮树丛 ｜v. 以灌木装饰；使…精疲力竭 ｜adj. 如灌木般长得低矮的；粗野的
butcher	[ˈbʊʧər]	v. 屠杀 ｜n. 屠夫
butter	[ˈbətər]	v. 涂黄油于；讨好 ｜n. 黄油；奶油；奉承话
butterfly	[ˈbətərˌflaɪ]	n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
buzz	[bəz]	vi. 发出嗡嗡声；充满兴奋 ｜n. 嗡嗡声；嘈杂的谈话声
bypass	[ˈbaɪˌpæs]	v. 绕开；忽视；设旁路；迂回 ｜n. 旁路；[公路] 支路
cab	[kæb]	n. 驾驶室；出租汽车；出租马车 ｜v. 乘出租马车（或汽车）
cabbage	[ˈkæbɪʤ]	n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin	[ˈkæbən]	n. 客舱， 机舱；小屋
cabinet	[ˈkæbənət]	n. 内阁；橱柜；展览艺术品的小陈列室 ｜adj. 内阁的；私下的，秘密的
cafeteria	[ˌkæfəˈtɪriə]	n. 自助餐厅
cage	[keɪʤ]	n. 笼，兽笼；牢房，监狱 ｜v. 把…关进笼子；把…囚禁起来
calcium	[ˈkælsiəm]	n. 钙(化学符号Ca)
calculate	[ˈkælkjəˌleɪt]	v. 计算,推算；预测，估计
calendar	[ˈkæləndər]	n. 日历,月历 ｜v. 将…列入表中；将…排入日程表
calorie	[ˈkælɔˌri]	n. 卡路里（热量单位）
camel	[ˈkæməl]	n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 ｜adj. 驼色的；暗棕色的 ｜vi. 工作刻板平庸
canal	[kəˈnæl]	n. 运河；[地理] 水道；[建] 管道；灌溉水渠 ｜v. 在…开凿运河
cancel	[ˈkænsəl]	v. 取消；删去 ｜n. 取消，撤销
candle	[ˈkændəl]	n. 蜡烛；烛光；烛形物 ｜v. 对着光检查
candy	[ˈkændi]	v. 用糖煮；使结晶为砂糖；美化 ｜n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 ｜adj. 新潮的（服饰）；甜言蜜语的
cannon	[ˈkænən]	n. 大炮；加农炮；榴弹炮；机关炮 ｜v. 炮轰；开炮
canoe	[kəˈnu]	n. 独木舟；轻舟 ｜v. 乘独木舟
canteen	[kænˈtin]	n. 食堂，小卖部；水壶
canvas	[ˈkænvəs]	n. 帆布 ｜v. 用帆布覆盖，用帆布装备 ｜adj. 帆布制的
capability	[ˌkeɪpəˈbɪləti]	n. 能力
cape	[keɪp]	n. 披肩，短披风；海角，岬
capex	[ˈkeɪpeks]	n. 资本开支
capitalism	[ˈkæpɪtəˌlɪzəm]	n. 资本主义
capsule	[ˈkæpsəl]	n. 胶囊；太空舱 ｜adj. 压缩的；概要的 ｜v. 压缩；简述
captive	[ˈkæptɪv]	n. 俘虏 ｜adj. 被俘虏的,被监禁的
capture	[ˈkæpʧər]	v. 俘虏；夺得,攻占；捕获 ｜n. 捕获,俘虏；夺得,攻占
carbohydrate	[ˌkɑrboʊˈhaɪˌdreɪt]	n. 碳水化合物
cardinal	[ˈkɑrdɪnəl]	n. 红衣主教；枢机主教；鲜红色；【鸟类】(北美)主红雀 ｜adj. 主要的，基本的；深红色的
caress	[kərˈɛs]	v. 爱抚，抚摸 ｜n. 爱抚，抚摸
cargo	[ˈkɑrˌgoʊ]	n. 船货,货物
carpenter	[ˈkɑrpəntər]	n. 木工,木匠 ｜v. 当木匠，做木匠工作
carpet	[ˈkɑrpət]	n. 地毯 ｜v. 在…上铺地毯，把地毯铺在…上；斥责
carriage	[ˈkɛrəʤ]	n. (四轮)马车；(火车)客车厢
carrier	[ˈkɛriər]	n. 搬运物，运输工具
carrot	[ˈkɛrət]	n. 胡萝卜
cart	[kɑrt]	n. (二轮货运)马车；手推车 ｜v. 用车装载
cartoon	[kɑrˈtun]	n. 动画片；漫画,幽默画
carve	[kɑrv]	v. (雕)刻 ｜n. (Carve)人名；(西、瑞典)卡韦
cascade	[kæˈskeɪd]	n. 级联
cashier	[kæˈʃɪr]	n. 出纳员；司库；收银员 ｜v. 解雇；抛弃
cassette	[kəˈsɛt]	n. 盒式磁带；暗盒；珠宝箱；片匣
castle	[ˈkæsəl]	n. 城堡；象棋中的车 ｜v. 置…于城堡中；筑城堡防御
casual	[ˈkæʒəwəl]	adj. 随便的；非正式的；临时的；偶然的 ｜n. 便装；临时工人；待命士兵
casualty	[ˈkæʒəwəlti]	n. 意外事故；伤亡人员；急诊室
catalog	[ˈkætəlɔg]	n. （ue）目录(册) ｜v. 编目(录)
catalogue	[ˈkætəˌlɔg]	n. 目录 ｜vt. 编目
catastrophe	[kəˈtæstrəfi]	n. 大灾难
cater	[ˈkeɪtər]	v. (for)提供饮食及服务；(for/to)满足,迎合 ｜n. (Cater)人名；(英)凯特
cathedral	[kəˈθidrəl]	n. 大教堂
cattle	[ˈkætəl]	n. 牛〔指菜牛或奶牛〕
caution	[ˈkɔʃən]	n. 小心，谨慎；警告，警示 ｜v. 警告
cautious	[ˈkɔʃəs]	adj. 谨慎的；十分小心的
cave	[keɪv]	v. 使凹陷，使塌落；在…挖洞穴 ｜n. 洞穴，窑洞
cease	[sis]	v. 停止；终了 ｜n. 停止
ceiling	[ˈsilɪŋ]	n. 天花板；上限
celebrate	[ˈsɛləˌbreɪt]	v. 庆祝；颂扬，赞美
celebrity	[səˈlɛbrɪti]	n. 名人，名流；著名，名声，名望
cellar	[ˈsɛlər]	n. 地窖；酒窖；地下室 ｜vt. 把…藏入地窖
cement	[sɪˈmɛnt]	v. 巩固，加强；用水泥涂；接合 ｜n. 水泥；接合剂
cemetery	[ˈsɛmɪˌtɛri]	n. 坟墓，墓地，坟场
censorship	[ˈsɛnsərˌʃɪp]	n. 审查制度
census	[ˈsɛnsəs]	v. 实施统计调查 ｜n. 人口普查，人口调查
centigrade	[ˈsɛntəˌgreɪd]	adj. 摄氏温度计的;摄氏的 ｜n. 摄氏温度计;摄氏
centimeter	[ˈsɛntəˌmitər]	n. 厘米
centimetre	[ˈsɛntəˌmitər]	n. (centimeter)厘米
cereal	[ˈsɪriəl]	n. 谷类，谷物；谷类食品；谷类植物 ｜adj. 谷类的；谷类制成的
ceremony	[ˈsɛrəˌmoʊni]	n. 典礼,仪式；礼节,礼仪
certainty	[ˈsərtənti]	n. 必然,肯定;必然的事
certificate	[sərˈtɪfɪkət]	n. 证(明)书,执照 ｜v. 发给证明书；以证书形式授权给…；用证书批准
certify	[ˈsərtəˌfaɪ]	v. 证明，证实；发证书(或执照)给
chalk	[ʧɔk]	v. 用粉笔写；用白垩粉擦；记录；规划 ｜n. 粉笔；白垩；用粉笔划的记号 ｜adj. 用粉笔写的
chamber	[ˈtʃeɪmbə]	n. （身体或器官内的）室，膛；房间；会所 ｜adj. 室内的；私人的，秘密的 ｜v. 把…关在室内；装填（弹药等）
champagne	[ʃæmˈpeɪn]	n. 香槟酒；香槟酒色
chancellor	[ˈʧænsələr]	n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chaos	[keɪɑs]	n. 混沌，混乱
chap	[ʧæp]	n. 小伙子；家伙；龟裂 ｜v. 使皲裂
characteristic	[ˌkɛrɪktərˈɪstɪk]	adj. 特有的,独特的 ｜n. 特征,特性
characterize	[ˈkɛrɪktərˌaɪz]	v. 描述…特性
charity	[ˈʧɛrɪti]	n. 慈善；施舍；慈善团体；宽容；施舍物
charm	[ʧɑrm]	n. 吸引力， 魅力 ｜vt. 迷人， 使陶醉；施魔法于
chart	[ʧɑrt]	n. 图表；海图；图纸；排行榜 ｜v. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展
charter	[ˈʧɑrtər]	v. 特许；包租；发给特许执照 ｜n. 宪章；执照；特许状
chase	[ʧeɪs]	v. 追逐；追捕；试图赢得；雕镂 ｜n. 追逐；追赶；追击
chasm	[ˈkæzəm]	n. 天壤之别
cheaper	[ˈtʃiːpə]	adj. 更便宜
cheat	[ʧit]	v. 欺骗；骗取 ｜n. 欺骗，作弊；骗子
cheek	[ʧik]	n. 面颊，脸颊；臀部 ｜v. 无礼地向…讲话，对…大胆无礼
cheer	[ʧɪr]	v. 欢呼；使高兴；为…加油 ｜n. 欢呼；愉快；心情；令人愉快的事
chef	[ʃɛf]	n. 厨师，大师傅
chemist	[ˈkɛmɪst]	n. 化学家；化学工作者；药剂师；炼金术士
chemistry	[ˈkɛmɪstri]	n. 化学；化学过程
cheque	[ʧɛk]	n. 支票
cherish	[ˈʧɛrɪʃ]	v. 珍爱
cherry	[ˈʧɛri]	n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chess	[ʧɛs]	n. 国际象棋，西洋棋
chew	[ʧu]	n. 咀嚼；咀嚼物 ｜v. 嚼碎，咀嚼
chill	[ʧɪl]	n. 寒冷；寒意；寒心 ｜adj. 寒冷的；冷漠的；扫兴的 ｜v. 冷冻，冷藏；使寒心；使感到冷
chimney	[ˈʧɪmni]	n. 烟囱
chin	[ʧɪn]	n. 下巴；聊天；引体向上动作 ｜v. 用下巴夹住；与…聊天；在单杠上作引体向上动作
chip	[ʧɪp]	v. 削，凿；削成碎片 ｜n. [电子] 芯片；筹码；碎片；(食物的) 小片; 薄片
chocolate	[ˈʧɔklət]	n. 巧克力，巧克力糖；巧克力色 ｜adj. 巧克力色的；巧克力口味的
choke	[ʧoʊk]	v. 呛；使窒息；阻塞；抑制；扑灭 ｜n. 窒息；噎；[动力] 阻气门
chop	[ʧɑp]	n. 砍；排骨；商标；削球 ｜v. 剁碎；砍
chorus	[ˈkɔrəs]	n. 合唱队；齐声；歌舞队 ｜v. 合唱；异口同声地说
chronic	[ˈkrɑnɪk]	adj. 慢性的；长期的；习惯性的 ｜n. (Chronic)人名；(英)克罗尼克
cigar	[sɪˈgɑr]	n. 雪茄
cinema	[ˈsɪnəmə]	n. 电影；电影院；电影业，电影制作术
circuit	[ˈsərkət]	n. 环行,环形道路；电路,线路 ｜v. 环行
circular	[ˈsərkjələr]	adj. 圆(形)的,环形的；循环的；环行的 ｜n. 传单,通报
circulate	[ˈsərkjəˌleɪt]	v. (使)循环,(使)流通
circumference	[ˌsərˈkəmfrəns]	n. 圆周,周围
circumstance	[ˈsərkəmˌstæns]	n. 情况，情形
circus	[ˈsərkəs]	n. 马戏团,杂技团;马戏场,杂技场
cite	[saɪt]	v. 引用；传讯；想起；表彰
citizen	[ˈsɪtɪzən]	n. 公民；市民；老百姓
civilian	[səˈvɪljən]	adj. 民用的；百姓的，平民的 ｜n. 平民，百姓
civilization	[ˌsɪvəlaɪˈzeɪʃn]	n. 文明；文化
civilize	[ˈsɪvəˌlaɪz]	v. 使文明；教化；使开化
clap	[klæp]	v. 鼓掌，拍手；啪地关上 ｜n. 鼓掌；拍手声
clarify	[ˈklɛrəˌfaɪ]	v. 澄清；阐明
clarity	[ˈklærəti]	n. 清楚，明晰；透明
clash	[klæʃ]	n. 冲突，不协调；碰撞声，铿锵声 ｜v. 冲突，抵触；砰地相碰撞，发出铿锵声
clasp	[klæsp]	n. 扣子，钩子；握手 ｜v. 紧抱；扣紧；紧紧缠绕
classical	[ˈklæsɪkəl]	adj. 古典的；经典的；传统的；第一流的 ｜n. 古典音乐
classification	[ˌklæsəfəˈkeɪʃən]	n. 分类,分级
classify	[ˈklæsəˌfaɪ]	v. 分类；分等(级)
classmate	[ˈklæsˌmeɪt]	n. 同班同学
classroom	[ˈklæsˌrum]	n. 教室
clause	[klɔz]	n. 条款；[计] 子句
claw	[klɔ]	n. 爪；螯，钳；爪形器具 ｜v. 用爪抓（或挖）
clay	[kleɪ]	n. [土壤] 粘土；泥土；肉体；似黏土的东西 ｜vt. 用黏土处理
clergy	[ˈklərʤi]	n. 神职人员；牧师；僧侣
clerk	[klərk]	n. 职员，办事员；店员；书记；记账员；古牧师，教士 ｜v. 当销售员，当店员；当职员
clever	[ˈklɛvər]	adj. 聪明的；机灵的；熟练的
cliff	[klɪf]	n. 悬崖；绝壁
climax	[ˈklaɪˌmæks]	n. 高潮；顶点；层进法；极点
climb	[klaɪm]	v. 爬；攀登；上升 ｜n. 爬；攀登
cling	[klɪŋ]	v. 坚持，墨守；紧贴；附着
clinic	[ˈklɪnɪk]	n. 临床；诊所
clip	[klɪp]	n. （塑料或金属的）夹子；回纹针；修剪；剪报 ｜v. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上
cloak	[kloʊk]	n. 斗蓬；宽大外衣；托词 ｜v. 遮掩；隐匿
clock	[klɑk]	n. 时钟；计时器 ｜v. 记录；记时
clockwise	[ˈklɑkˌwaɪz]	adv. 顺时针方向地 ｜adj. 顺时针方向的
clone	[kloʊn]	n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物 ｜v. 无性繁殖，复制
closet	[ˈklɑzət]	n. (壁)橱 ｜v. 把…引进密室会谈；把…关在小房间里 ｜adj. 秘密的，私下的；空谈的
cloth	[klɔθ]	n. 织物,衣料；(一块)布 ｜adj. 布制的
clothe	[kloʊð]	v. (给…)穿衣,供给…衣服
clothing	[ˈkloʊðɪŋ]	n. 服装,被褥 ｜v. 覆盖（clothe的ing形式）；给…穿衣
cloud	[klaʊd]	n. 云；阴云；云状物；一大群；黑斑 ｜v. 使混乱；以云遮敝；使忧郁；玷污
cloudy	[ˈklaʊdi]	adj. 多云的；阴天的；愁容满面的
clue	[klu]	n. 线索；（故事等的）情节 ｜v. 为…提供线索；为…提供情况
clumsy	[ˈkləmzi]	adj. 笨拙的
cluster	[ˈkləstər]	n. 群；簇；丛；串 ｜v. 群聚；丛生
clutch	[kləʧ]	n. 离合器；控制；手；紧急关头 ｜v. 攫；企图抓住 ｜adj. 没有手提带或背带的；紧要关头的
coal	[koʊl]	v. 上煤；加煤 ｜n. 煤；煤块；木炭
coalition	[ˌkoʊəˈlɪʃən]	n. 联合；结合，合并
coarse	[kɔrs]	adj. 粗糙的；粗俗的；下等的
coat	[koʊt]	n. 外套 ｜v. 覆盖…的表面
cocaine	[koʊˈkeɪn]	n. [药] 可卡因
cock	[kɑk]	n. 公鸡；龙头；雄鸟；头目 ｜v. 使竖起；使耸立；使朝上
cofounder	[kəʊˈfaʊndə]	n. 联合创始人
cognition	[kɒɡˈnɪʃn]	n. 认知
cognitive	[ˈkɑgnɪtɪv]	adj. 认知的，认识能力的
coherent	[koʊˈhɪrənt]	adj. 一致的，协调的；(话语等)条理清楚的
cohesive	[koʊˈhisɪv]	adj. 团结的，有凝聚力的
coil	[kɔɪl]	v. 盘绕，把…卷成圈 ｜n. 线圈；卷
coin	[kɔɪn]	v. 铸造（货币）；杜撰，创造 ｜n. 硬币，钱币
coincide	[ˌkoʊɪnˈsaɪd]	v. 同时发生；巧合；一致；相符
coincidence	[koʊˈɪnsɪdəns]	n. 巧合；同时发生；符合，一致
coke	[koʊk]	n. 焦炭；可卡因；可口可乐（Coca-Cola） ｜v. 焦化
collaborate	[kəˈlæbərˌeɪt]	v. 合作；勾结，通敌
collapse	[kəˈlæps]	v. 倒塌；瓦解；暴跌 ｜n. 倒塌；失败；衰竭
collar	[ˈkɑlər]	n. 衣领；颈圈 ｜v. 抓住；给…上领子；给…套上颈圈
colleague	[ˈkɑlig]	n. 同事，同僚
collect	[kəˈlɛkt]	v. 收集,搜集；领取,接走；收(税等)；聚集,堆积 ｜adv. 由收件人付款地 ｜adj. 由收件人付款的 ｜n. (Collect)人名；(英)科莱克特
collective	[kəˈlɛktɪv]	n. 集体企业; 集体农庄 ｜adj. 集体的,共同的
collide	[kəˈlaɪd]	v. 碰撞；抵触，冲突
collision	[kəˈlɪʒən]	n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
colonel	[ˈkərnəl]	n. 陆军上校
colonial	[kəˈloʊniəl]	n. 殖民地居民 ｜adj. 殖民地的，殖民的
colonization	[ˌkɒlənaɪˈzeɪʃn]	n. 殖民
colony	[ˈkɑləni]	n. 殖民地；移民队；种群；动物栖息地
column	[ˈkɑləm]	n. 纵队，列；专栏；圆柱，柱形物
comb	[koʊm]	n. 梳子；蜂巢；鸡冠 ｜v. 梳头发；梳毛
combine	[ˈkɑmbaɪn]	v. 使化合；使联合，使结合 ｜n. 联合收割机；联合企业
comet	[ˈkɑmət]	n. 彗星
comfort	[ˈkəmfərt]	n. 安慰；舒适；安慰者 ｜v. 安慰；使（痛苦等）缓和
comic	[ˈkɑmɪk]	adj. 喜剧的；滑稽的；有趣的 ｜n. 连环漫画；喜剧演员；滑稽人物
commemorate	[kəˈmɛmərˌeɪt]	v. 纪念，庆祝
commence	[kəˈmɛns]	v. 开始
commend	[kəˈmɛnd]	v. 推荐；称赞；把…委托
commerce	[ˈkɑmərs]	n. 买卖，贸易；商务；商业
commit	[kəˈmɪt]	v. 犯罪，做错事；把交托给；指派…作战；使…承担义务
commodity	[kəˈmɑdəti]	n. 商品
